99.44,2.28,9.07
92.08,4.82,15.13
66.32,4.7,12.47
92.71,2.19,10.77
88.16,4.79,9.79
84.02,2.86,7.66
50.25,4.15,14.38
93.44,3.99,8.9
53.94,0.71,15.94
70.57,3.72,11.51
56.45,3.14,13.14
95.89,2.51,13.52
87.63,2.49,17.79
65.36,1.67,14.89
59.77,2.7,16.24
98.07,3.99,10.7
85.94,1.21,6.22
54.8,2.46,16.36
72.29,3.81,9.75
60.26,4.12,14.82
58.34,1.64,15.43
77.01,4.63,16.69
75.89,4.06,9.87
77.74,2.45,10.93
94.13,3.44,15.63
84.11,4.4,13.73
63.67,3.72,7.69
95.41,0.7,6.06
85.42,0.52,11.48
75.59,1.72,10.94
57.82,1.9,11.65
91.77,2.54,17.32
97.2,1.18,16.0
68.8,3.42,18.31
55.57,2.8,7.11
66.92,0.81,6.61
60.59,1.75,11.56
59.98,2.2,5.46
74.26,2.84,5.66
51.95,1.55,11.47
61.04,2.77,8.87
95.53,4.81,13.82
74.59,3.83,14.15
87.81,2.52,13.56
51.44,4.28,5.49
94.91,4.05,12.26
88.09,4.95,6.81
87.78,0.72,13.86
79.76,3.65,7.31
53.83,2.95,13.64
63.26,2.25,6.79
57.53,1.32,8.98
91.22,4.07,13.47
67.01,0.92,18.79
91.57,2.13,6.24
93.59,4.29,10.52
97.88,2.65,14.27
99.06,2.23,19.02
75.72,3.62,11.09
54.14,4.46,10.13
76.17,4.54,9.36
51.37,3.76,17.76
94.22,2.87,16.72
86.32,1.34,17.5
72.53,2.37,19.87
93.81,0.53,10.31
93.01,1.32,7.24
56.31,3.06,9.09
67.61,4.56,16.86
84.31,3.21,10.02
54.71,2.74,11.27
81.88,1.52,11.74
59.5,4.98,13.44
